"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","5123","0.0-0.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5285","0.0-1.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","14123","0.0-2.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","8834","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","21866","0.0-3.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","7716",""," ","key"," ","16.700459051724135","960","250","","","","","","","",""
"","psychophysics","4","26744","0.0-4.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","4871",""," ","key"," ","16.721989655172415","500","250","inst","","","","","","",""
"","psychophysics","5","35228","0.0-5.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","8466",""," ","key"," ","16.664536345776032","500","250","sample0","","","","","","",""
"","psychophysics","6","37340","0.0-6.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","2108",""," ","key"," ","16.66448000000004","500","250","sample1","","","","","","",""
"","psychophysics","7","54543","0.0-7.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","17195",""," ","key"," ","16.66454166666667","500","250","sample2","102","","","","","",""
"","psychophysics","8","65510","0.0-8.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","10964",""," ","key"," ","16.664531202435313","500","250","sample3","94","","","","","",""
"","psychophysics","9","70070","0.0-9.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","4556",""," ","key"," ","16.664544117647036","500","250","sample4","130","","","","","",""
"","psychophysics","10","74059","0.0-10.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","3969",""," ","key"," ","16.664531380753154","500","250","sample5","","","","","","",""
"","psychophysics","11","90544","0.0-11.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","16482",""," ","key"," ","16.66453137651822","500","250","sample6","504","","","","","",""
"","psychophysics","12","97548","0.0-12.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","7000",""," ","key"," ","16.66452983293555","500","250","inst","","","","","","",""
"","psychophysics","13","103380","0.0-13.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","5826",""," ","key"," ","16.664524355300845","500","250","inst","","","","","","",""
"","psychophysics","14","107214","0.0-14.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","3831",""," ","key"," ","16.664532751091702","500","250","inst","","","","","","",""
"","psychophysics","15","118331","0.0-15.0","5c50ccae2423780001085cb9","64dd6f3a6016fbfec1950a3d","","","","","11111",""," ","key"," ","16.664524024024008","500","250","inst","","","","","","",""
