"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"27827","key"," "," ","16.659359281437126","499.84","249.92","psychophysics","0","27840","0.0-0.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"15344","key"," "," ","16.659389130434782","499.84","249.92","psychophysics","1","43187","0.0-1.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"4375","key"," "," ","16.65985114503817","500","250","psychophysics","2","47566","0.0-2.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"2463","key"," "," ","16.659601351351345","500","250","psychophysics","3","50044","0.0-3.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"2013","key"," "," ","16.659158333333348","500","250","psychophysics","4","52060","0.0-4.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"8055","key"," "," ","16.65931327800831","500","250","psychophysics","5","60118","0.0-5.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3567","key"," "," ","16.660014018691566","500","250","psychophysics","6","63691","0.0-6.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"5496","key"," "," ","16.65910030395136","500","250","psychophysics","7","69190","0.0-7.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"17184","key"," "," ","16.659261881668275","500","250","psychophysics","8","86377","0.0-8.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","0","0","26","26","","",""
"6191","key"," "," ","16.659681081081107","500","250","psychophysics","9","92571","0.0-9.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3794","key"," "," ","16.659912280701782","500","250","psychophysics","10","96371","0.0-10.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"60925","key"," "," ","16.65924617067834","500","250","psychophysics","11","157299","0.0-11.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3693","key"," "," ","16.65979638009051","500","250","psychophysics","12","160994","0.0-12.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"2807","key"," "," ","16.659119760479065","500","250","psychophysics","13","163804","0.0-13.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3051","key"," "," ","16.66019672131143","500","250","psychophysics","14","166860","0.0-14.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3356","key"," "," ","16.659314999999914","500","250","psychophysics","15","170219","0.0-15.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"3820","key"," "," ","16.6597947598253","500","250","psychophysics","16","174044","0.0-16.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","","","","","","",""
"87201","key"," "," ","16.659282575468094","500","250","psychophysics","17","261248","0.0-17.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","50","59","","",""
"27534","key"," "," ","16.659201573849874","500","250","psychophysics","18","288785","0.0-18.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","38","36","","",""
"19257","key"," "," ","16.659343722943735","500","250","psychophysics","19","308044","0.0-19.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","31","35","","",""
"27668","key"," "," ","16.659284337349405","500","250","psychophysics","20","335715","0.0-20.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","47","45","","",""
"19922","key"," "," ","16.65919497907946","500","250","psychophysics","21","355639","0.0-21.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","32","31","","",""
"20370","key"," "," ","16.65928009828012","500","250","psychophysics","22","376011","0.0-22.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","44","41","","",""
"16807","key"," "," ","16.65942418235877","500","250","psychophysics","23","392823","0.0-23.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","45","44","","",""
"38044","key"," "," ","16.659297107800178","500","250","psychophysics","24","430870","0.0-24.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","22","20","","",""
"27875","key"," "," ","16.65937895995215","500","250","psychophysics","25","458751","0.0-25.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","33","33","","",""
"38816","key"," "," ","16.659199656504942","500","250","psychophysics","26","497569","0.0-26.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","46","48","","",""
"20576","key"," "," ","16.659459481361463","500","250","psychophysics","27","518147","0.0-27.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","26","26","","",""
"19635","key"," "," ","16.65946689303906","500","250","psychophysics","28","537786","0.0-28.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","60","60","","",""
"26180","key"," "," ","16.65936091661364","500","250","psychophysics","29","563969","0.0-29.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","36","43","","",""
"25192","key"," "," ","16.659199867637387","500","250","psychophysics","30","589163","0.0-30.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","5","50","52","","",""
"25340","key"," "," ","16.65927105263162","500","250","psychophysics","31","614506","0.0-31.0","5bc3fb6d21f69f00011d9ad2","620a70404b4e5ee1bbdda961","1","0","58","63","","",""
