"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"true","fullscreen","0","4014","0.0-0.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4116","0.0-1.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","5736","0.0-2.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","1620","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","11018","0.0-3.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","5276",""," ","key"," ","16.666958990536276","1280","250","","","","","","",""
"","psychophysics","4","14747","0.0-4.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","3726",""," ","key"," ","16.66669955156951","500","250","inst","","","","","",""
"","psychophysics","5","20353","0.0-5.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","5604",""," ","key"," ","16.66672537313433","500","250","sample0","","","","","",""
"","psychophysics","6","23308","0.0-6.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","2952",""," ","key"," ","16.666255681818196","500","250","sample1","","","","","",""
"","psychophysics","7","35915","0.0-7.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","12605",""," ","key"," ","16.666678571428573","500","250","sample2","100","","","","",""
"","psychophysics","8","43206","0.0-8.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","7289",""," ","key"," ","16.6666628440367","500","250","sample3","100","","","","",""
"","psychophysics","9","55253","0.0-9.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","12045",""," ","key"," ","16.666656509695294","500","250","sample4","100","","","","",""
"","psychophysics","10","60378","0.0-10.0","5f79809ea692be01b666c74a","64cab2dfa779223b1c08e8cd","","","","","5123",""," ","key"," ","16.66690522875816","500","250","sample5","","","","","",""
