"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","3244","0.0-0.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3303","0.0-1.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5202","0.0-2.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","1897","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","10292","0.0-3.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","5086",""," ","key"," ","16.667344262295085","960","250","","","","","","","",""
"","psychophysics","4","13569","0.0-4.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","3273",""," ","key"," ","16.667056122448983","500","250","inst","","","","","","",""
"","psychophysics","5","17609","0.0-5.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","4039",""," ","key"," ","16.667170124481324","500","250","sample0","","","","","","",""
"","psychophysics","6","21146","0.0-6.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","3536",""," ","key"," ","16.667284360189566","500","250","sample1","","","","","","",""
"","psychophysics","7","36769","0.0-7.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","15619",""," ","key"," ","16.667211312700104","500","250","sample2","102","","","","","",""
"","psychophysics","8","45001","0.0-8.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","8231",""," ","key"," ","16.667121951219503","500","250","sample3","104","","","","","",""
"","psychophysics","9","54170","0.0-9.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","9167",""," ","key"," ","16.667256363636366","500","250","sample4","100","","","","","",""
"","psychophysics","10","57858","0.0-10.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","3684",""," ","key"," ","16.667172727272753","500","250","sample5","","","","","","",""
"","psychophysics","11","67618","0.0-11.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","9756",""," ","key"," ","16.667059931506852","500","250","sample6","502","","","","","",""
"","psychophysics","12","71385","0.0-12.0","5907f9e49ae6ed000160dc4b","64e50eeab15cdb3a39e3565a","","","","","3761",""," ","key"," ","16.667124444444458","500","250","inst","","","","","","",""
