"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","block","jitterX","jitterY"
"true","fullscreen","0","4132","0.0-0.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4218","0.0-1.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","23499","0.0-2.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","19280","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","32145","0.0-3.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","8641",""," ","key"," ","16.671951737451746","960","250","","","","","","","",""
"","psychophysics","4","36814","0.0-4.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","4667",""," ","key"," ","16.671777777777777","500","250","inst","","","","","","",""
"","psychophysics","5","41764","0.0-5.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","4948",""," ","key"," ","16.671824324324326","500","250","sample0","","","","","","",""
"","psychophysics","6","44475","0.0-6.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","2710",""," ","key"," ","16.67169753086417","500","250","sample1","","","","","","",""
"","psychophysics","7","56765","0.0-7.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","12289",""," ","key"," ","16.671792119565225","500","250","sample2","72","","","","","",""
"","psychophysics","8","61171","0.0-8.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","4404",""," ","key"," ","16.672087452471477","500","250","sample3","96","","","","","",""
"","psychophysics","9","72814","0.0-9.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","11642",""," ","key"," ","16.671934002869435","500","250","sample4","102","","","","","",""
"","psychophysics","10","95891","0.0-10.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","23074",""," ","key"," ","16.671812138728324","500","250","sample5","","","","","","",""
"","psychophysics","11","105869","0.0-11.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","9977",""," ","key"," ","16.671814070351765","500","250","sample6","500","","","","","",""
"","psychophysics","12","113467","0.0-12.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","7596",""," ","key"," ","16.671883516483504","500","250","inst","","","","","","",""
"","psychophysics","13","135039","0.0-13.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","21572",""," ","key"," ","16.671802010827534","500","250","inst","","","","","","",""
"","psychophysics","14","139726","0.0-14.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","4685",""," ","key"," ","16.6717821428572","500","250","inst","","","","","","",""
"","psychophysics","15","141189","0.0-15.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","1462",""," ","key"," ","16.67278160919548","500","250","inst","","","","","","",""
"","psychophysics","16","142628","0.0-16.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","1438",""," ","key"," ","16.671399999999867","500","250","inst","","","","","","",""
"","psychophysics","17","293286","0.0-17.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","150656",""," ","key"," ","16.671805887560872","500","250","instPzPre","50","50","50","0","","",""
"","psychophysics","18","296980","0.0-18.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","3693",""," ","key"," ","16.671749999999882","500","250","instPz0","50","50","50","2","","",""
"","psychophysics","19","306527","0.0-19.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","9545",""," ","key"," ","16.671926573426582","500","250","instPz1","46","25","50","2","","",""
"","psychophysics","20","314501","0.0-20.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","7973",""," ","key"," ","16.671798742138435","500","250","instPz2","33","20","35","2","","",""
"","psychophysics","21","340072","0.0-21.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","25569",""," ","key"," ","16.67186431833007","500","250","instPz3","76","30","100","2","","",""
"","psychophysics","22","369299","0.0-22.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","29225",""," ","key"," ","16.67182248858447","500","250","instPz4","94","30","100","2","","",""
"","psychophysics","23","411614","0.0-23.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","42314",""," ","key"," ","16.671809223492314","500","250","inst","","","","","","",""
"","psychophysics","24","418397","0.0-24.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","6779",""," ","key"," ","16.671834975369492","500","250","pz","24","43","30","2","0","",""
"","psychophysics","25","423450","0.0-25.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","5051",""," ","key"," ","16.67216887417217","500","250","pz","41","53","49","2","0","",""
"","psychophysics","26","430807","0.0-26.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","7355",""," ","key"," ","16.67193181818187","500","250","pz","43","25","49","2","0","",""
"","psychophysics","27","433558","0.0-27.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","2749",""," ","key"," ","16.672201219512072","500","250","pz","25","25","32","2","0","",""
"","psychophysics","28","437420","0.0-28.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","3860",""," ","key"," ","16.671930735930548","500","250","pz","33","34","37","2","0","",""
"","psychophysics","29","439563","0.0-29.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","2142",""," ","key"," ","16.671507812500295","500","250","pz","21","21","28","2","0","",""
"","psychophysics","30","443681","0.0-30.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","4116",""," ","key"," ","16.671674796748043","500","250","pz","43","38","57","2","0","",""
"","psychophysics","31","451341","0.0-31.0","5765dffd7805730001ecfcd0","64e50b4d46975887ae7ca174","","","","","7659",""," ","key"," ","16.671694323144102","500","250","pz","49","24","59","2","0","",""
