"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","start","jitterX","jitterY","parA"
"true","fullscreen","0","3091","0.0-0.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3197","0.0-1.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","5016","0.0-2.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1818","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","10941","0.0-3.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5912",""," ","key"," ","16.652143258426964","768","250","","","","","","","",""
"","psychophysics","4","14150","0.0-4.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3208",""," ","key"," ","16.652395833333333","500","250","inst","","","","","","",""
"","psychophysics","5","23539","0.0-5.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","9387",""," ","key"," ","16.652138790035586","500","250","sample0","","","","","","",""
"","psychophysics","6","26264","0.0-6.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2720",""," ","key"," ","16.652006134969337","500","250","sample1","","","","","","",""
"","psychophysics","7","95582","0.0-7.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","69314",""," ","key"," ","17.590424873096445","500","250","sample2","100","","","","","",""
"","psychophysics","8","101476","0.0-8.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5892",""," ","key"," ","16.652223796033997","500","250","sample3","100","","","","","",""
"","psychophysics","9","125489","0.0-9.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","24011",""," ","key"," ","16.65211172796669","500","250","sample4","100","","","","","",""
"","psychophysics","10","130100","0.0-10.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4607",""," ","key"," ","16.652144927536277","500","250","sample5","","","","","","",""
"","psychophysics","11","139417","0.0-11.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","9315",""," ","key"," ","16.6520107526882","500","250","sample6","502","","","","","",""
"","psychophysics","12","144220","0.0-12.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4802",""," ","key"," ","16.652392361111097","500","250","inst","","","","","","",""
"","psychophysics","13","149006","0.0-13.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4784",""," ","key"," ","16.652223776223853","500","250","inst","","","","","","",""
"","psychophysics","14","151770","0.0-14.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2762",""," ","key"," ","16.652230303030404","500","250","inst","","","","","","",""
"","psychophysics","15","154907","0.0-15.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3136",""," ","key"," ","16.651930481283383","500","250","inst","","","","","","",""
"","psychophysics","16","156274","0.0-16.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1366",""," ","key"," ","16.652197530864303","500","250","inst","","","","","","",""
"","psychophysics","17","160032","0.0-17.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3754",""," ","key"," ","16.65191111111121","500","250","instEB0","40","2","","40","0","0","40"
"","psychophysics","18","165491","0.0-18.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5457",""," ","key"," ","16.652327217125343","500","250","instEB1","42","2","","30","0","0","40"
"","psychophysics","19","172700","0.0-19.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","7208",""," ","key"," ","16.652194444444426","500","250","instEB2","30","2","","40","0","0","30"
"","psychophysics","20","179033","0.0-20.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","6332",""," ","key"," ","16.652250659630628","500","250","instEB3","34","2","","45","0","0","27"
"","psychophysics","21","183468","0.0-21.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4434",""," ","key"," ","16.652345864661672","500","250","instEB4","44","2","","30","0","0","40"
"","psychophysics","22","185323","0.0-22.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1852",""," ","key"," ","16.65198181818176","500","250","inst","","","","","","",""
"","psychophysics","23","192802","0.0-23.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","7476",""," ","key"," ","16.652252232142864","500","250","eb","32","2","","46","0","0","25"
"","psychophysics","24","198574","0.0-24.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5709",""," ","key"," ","16.7490174418605","500","250","eb","46","2","","53","0","0","38"
"","psychophysics","25","206577","0.0-25.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","null","","null","key","null","16.65229436325677","500","250","eb","40","2","","51","0","0","29"
"","psychophysics","26","211023","0.0-26.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4437",""," ","key"," ","16.652417293233103","500","250","eb","57","2","","50","0","0","50"
"","psychophysics","27","216891","0.0-27.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5859",""," ","key"," ","16.65214772727276","500","250","eb","54","2","","29","0","0","54"
"","psychophysics","28","220032","0.0-28.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3137",""," ","key"," ","16.65243850267392","500","250","eb","53","2","","49","0","0","46"
"","psychophysics","29","224449","0.0-29.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4415",""," ","key"," ","16.65201132075481","500","250","eb","58","2","","32","0","0","48"
"","psychophysics","30","227848","0.0-30.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3395",""," ","key"," ","16.652009852216786","500","250","eb","51","2","","54","0","0","40"
"","psychophysics","31","230271","0.0-31.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2420",""," ","key"," ","16.652423611111065","500","250","eb","52","2","","50","0","0","45"
"","psychophysics","32","232942","0.0-32.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2668",""," ","key"," ","16.65240625000006","500","250","eb","49","2","","46","0","0","45"
"","psychophysics","33","235821","0.0-33.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2877",""," ","key"," ","16.651703488372053","500","250","eb","53","2","","50","0","0","53"
"","psychophysics","34","238148","0.0-34.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2324",""," ","key"," ","16.652282608695753","500","250","eb","51","2","","48","0","0","44"
"","psychophysics","35","242540","0.0-35.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4391",""," ","key"," ","16.652547528517093","500","250","eb","51","2","","41","0","0","48"
"","psychophysics","36","246746","0.0-36.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4203",""," ","key"," ","16.652337301587284","500","250","eb","47","2","","40","0","0","42"
"","psychophysics","37","249689","0.0-37.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2940",""," ","key"," ","16.652040000000103","500","250","eb","52","2","","48","0","0","50"
"","psychophysics","38","252287","0.0-38.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2597",""," ","key"," ","16.653135483870997","500","250","inst","","","","","","",""
"","psychophysics","39","257045","0.0-39.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4757",""," ","key"," ","16.652207017543812","500","250","instBr0","0","","","0","0","0","300"
"","psychophysics","40","262714","0.0-40.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5668",""," ","key"," ","16.651471976401144","500","250","instBr1","-1","","","-40","0","0","300"
"","psychophysics","41","271812","0.0-41.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","9094",""," ","key"," ","16.65279853479856","500","250","instBr3","-13","1","","40","0","0","300"
"","psychophysics","42","273067","0.0-42.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1254",""," ","key"," ","16.653054054054067","500","250","inst","","","","","","",""
"","psychophysics","43","275890","0.0-43.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2821",""," ","key"," ","16.655550295857992","500","250","br","-17","1","0","-18","-17","-30","227"
"","psychophysics","44","279987","0.0-44.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4095",""," ","key"," ","16.653661224489785","500","250","br","-15","1","0","-22","-16","-4","202"
"","psychophysics","45","283774","0.0-45.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3786",""," ","key"," ","16.653119469026468","500","250","br","-18","1","0","-27","-4","13","232"
"","psychophysics","46","287206","0.0-46.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3430",""," ","key"," ","16.650458536585568","500","250","br","-16","1","0","-29","25","6","231"
"","psychophysics","47","291638","0.0-47.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4430",""," ","key"," ","16.652392452830263","500","250","br","-16","1","0","-22","-7","16","290"
"","psychophysics","48","293917","0.0-48.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2275",""," ","key"," ","16.653272058823752","500","250","br","-19","1","0","-24","0","27","283"
"","psychophysics","49","297220","0.0-49.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3301",""," ","key"," ","16.65245959595977","500","250","br","-12","1","0","-16","10","-24","282"
"","psychophysics","50","300920","0.0-50.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3697",""," ","key"," ","16.65252941176485","500","250","br","-17","1","0","5","-11","2","252"
"","psychophysics","51","303955","0.0-51.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3034",""," ","key"," ","16.65281767955787","500","250","br","-4","1","0","18","12","-14","234"
"","psychophysics","52","307791","0.0-52.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3835",""," ","key"," ","16.652091703056634","500","250","br","-7","1","0","26","4","9","216"
"","psychophysics","53","314362","0.0-53.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","6567",""," ","key"," ","16.65224365482233","500","250","br","-15","1","0","7","-10","9","250"
"","psychophysics","54","318978","0.0-54.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4604",""," ","key"," ","16.652746376811578","500","250","br","-11","1","0","-12","0","27","295"
"","psychophysics","55","322867","0.0-55.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3887",""," ","key"," ","16.653231759656816","500","250","br","-9","1","0","0","-24","-26","296"
"","psychophysics","56","326990","0.0-56.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4121",""," ","key"," ","16.651341463414557","500","250","br","-12","1","0","12","-14","24","221"
"","psychophysics","57","332504","0.0-57.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5508",""," ","key"," ","16.652214501510667","500","250","br","-10","1","0","26","5","-10","233"
"","psychophysics","58","333673","0.0-58.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1166",""," ","key"," ","16.652724637681168","500","250","inst","","","","","","",""
"","psychophysics","59","336571","0.0-59.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2896",""," ","key"," ","16.653352601155895","500","250","instPzPre","50","0","","50","","","50"
"","psychophysics","60","341973","0.0-60.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5401",""," ","key"," ","16.651455108359084","500","250","instPz0","50","2","","50","","","50"
"","psychophysics","61","349010","0.0-61.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","7035",""," ","key"," ","16.65227488151661","500","250","instPz1","50","2","","25","","","50"
"","psychophysics","62","353571","0.0-62.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4560",""," ","key"," ","16.652208791208842","500","250","instPz2","33","2","","20","","","35"
"","psychophysics","63","364047","0.0-63.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","10473",""," ","key"," ","16.65197770700634","500","250","instPz3","74","2","","30","","","100"
"","psychophysics","64","368737","0.0-64.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","4689",""," ","key"," ","16.65234642857145","500","250","instPz4","77","2","","30","","","100"
"","psychophysics","65","370136","0.0-65.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","1396",""," ","key"," ","16.657060240963418","500","250","inst","","","","","","",""
"","psychophysics","66","375556","0.0-66.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5416",""," ","key"," ","16.65193538461543","500","250","pz","23","2","0","28","","","29"
"","psychophysics","67","381101","0.0-67.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5543",""," ","key"," ","16.6526385542168","500","250","pz","28","2","0","36","","","43"
"","psychophysics","68","384234","0.0-68.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3132",""," ","key"," ","16.651085561497467","500","250","pz","45","2","0","47","","","52"
"","psychophysics","69","389594","0.0-69.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5358",""," ","key"," ","16.653495327102796","500","250","pz","16","2","0","42","","","21"
"","psychophysics","70","392832","0.0-70.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3236",""," ","key"," ","16.654041450777104","500","250","pz","14","2","0","20","","","20"
"","psychophysics","71","396526","0.0-71.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","3693",""," ","key"," ","16.652058823529327","500","250","pz","29","2","0","28","","","41"
"","psychophysics","72","401559","0.0-72.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5031",""," ","key"," ","16.653411960132974","500","250","pz","21","2","0","34","","","28"
"","psychophysics","73","406612","0.0-73.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5048",""," ","key"," ","16.653405940593927","500","250","pz","27","2","0","20","","","41"
"","psychophysics","74","409432","0.0-74.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","2819",""," ","key"," ","16.655351190476114","500","250","pz","36","2","0","36","","","45"
"","psychophysics","75","414593","0.0-75.0","5d9ae3ff9d2a700014869bcb","64e50d1d077cfbb62cfd572e","","","","","5159",""," ","key"," ","16.65150809061486","500","250","pz","49","2","0","57","","","60"
